location,state,zone,terrain_type,latitude,longitude,elevation_m,date,tmax_c,tmin_c,rh_max_pct,rh_min_pct,wind_speed_kmph,pressure_hpa,normal_tmax_c,normal_tmin_c,departure_tmax_c,heatwave_flag,warm_night_flag,severity,alert_color,data_corrected_flag,year,month,month_name,day,day_of_year,season,mean_temp_c,diurnal_temp_range_c,rh_mean_pct,departure_tmin_c,tmax_category,wind_category,pressure_category
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,01-01-2019,28.9,16.1,47.7,17.1,8.1,1005.4,28.8,15.8,0.1,0,0,NONE,GREEN,0,2019,1,January,1,1,Winter,22.5,12.8,32.4,0.3,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,02-01-2019,28.4,17.3,59.8,33.5,8.7,1008.7,28.8,15.8,-0.4,0,0,NONE,GREEN,0,2019,1,January,2,2,Winter,22.8,11.1,46.6,1.5,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,03-01-2019,29.6,16.5,53.3,29.6,13.4,1007.2,28.8,15.8,0.8,0,0,NONE,GREEN,0,2019,1,January,3,3,Winter,23,13.1,41.4,0.7,Warm,Moderate,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,04-01-2019,23.3,12.7,61.5,33.3,9.4,1010.6,28.8,15.8,-5.5,0,0,NONE,GREEN,0,2019,1,January,4,4,Winter,18,10.6,47.4,-3.1,Cool,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,05-01-2019,29.6,15.5,51.7,36.2,8.5,1003.2,28.8,15.8,0.8,0,0,NONE,GREEN,0,2019,1,January,5,5,Winter,22.6,14.1,44,-0.3,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,06-01-2019,29.4,15.3,57.4,28.5,12.7,1007.6,28.8,15.8,0.6,0,0,NONE,GREEN,0,2019,1,January,6,6,Winter,22.4,14.1,43,-0.5,Warm,Moderate,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,07-01-2019,28.2,15.7,47.8,30.4,6,1009.6,28.8,15.8,-0.6,0,0,NONE,GREEN,0,2019,1,January,7,7,Winter,22,12.5,39.1,-0.1,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,08-01-2019,27.6,15.4,53.2,23.9,6.3,1007.2,28.8,15.8,-1.2,0,0,NONE,GREEN,0,2019,1,January,8,8,Winter,21.5,12.2,38.6,-0.4,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,09-01-2019,27.6,15.5,46.4,25.3,11,1005.6,28.8,15.8,-1.2,0,0,NONE,GREEN,0,2019,1,January,9,9,Winter,21.6,12.1,35.8,-0.3,Warm,Light,Normal
"New Delhi Safdarjung AWS, Delhi NCR, Delhi",Delhi,North,PLAINS,28.5665,77.209,216,10-01-2019,26.9,15.9,56.2,28.7,16.4,1007,28.8,15.8,-1.9,0,0,NONE,GREEN,0,2019,1,January,10,10,Winter,21.4,11,42.4,0.1,Warm,Moderate,Normal
